epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,57476.5,0.16878,0.13594,0.80803,0.99954,0.99975,0.99498,0.99447,0.06872,0.06881,0.85929,0.005842,0.005842,0.005842
44,58793.9,0.16724,0.13554,0.80768,0.99955,0.99976,0.99497,0.99446,0.06824,0.06891,0.85924,0.005743,0.005743,0.005743
45,60110.1,0.16583,0.1345,0.80739,0.99955,0.99975,0.99497,0.99446,0.0677,0.06975,0.85916,0.005644,0.005644,0.005644
46,61435.7,0.16599,0.13405,0.80729,0.99956,0.99975,0.99497,0.99448,0.06686,0.06964,0.85904,0.005545,0.005545,0.005545
47,62755.1,0.16521,0.13387,0.80737,0.99958,0.99974,0.99497,0.99447,0.06647,0.06941,0.85895,0.005446,0.005446,0.005446
48,64068,0.16476,0.13364,0.80708,0.9996,0.99974,0.99497,0.99446,0.06608,0.06943,0.85883,0.005347,0.005347,0.005347
49,840.375,0.16279,0.13226,0.80764,0.99958,0.99975,0.99497,0.99447,0.0653,0.06817,0.85877,0.005248,0.005248,0.005248
50,1654.85,0.16384,0.13345,0.80765,0.99959,0.99975,0.99497,0.99447,0.06468,0.06732,0.85862,0.005149,0.005149,0.005149
51,2456.13,0.16397,0.13379,0.80743,0.99957,0.99977,0.99497,0.99447,0.06416,0.06707,0.85849,0.00505,0.00505,0.00505
52,3251.18,0.16442,0.13383,0.80744,0.99958,0.99978,0.99498,0.99447,0.06378,0.0668,0.8584,0.004951,0.004951,0.004951
53,4028.22,0.16246,0.13171,0.80729,0.99959,0.99978,0.99498,0.99447,0.06347,0.0665,0.85831,0.004852,0.004852,0.004852
54,4799.5,0.16156,0.13085,0.80678,0.99959,0.99978,0.99498,0.99448,0.06325,0.06643,0.85822,0.004753,0.004753,0.004753
55,5562.19,0.16134,0.13078,0.80703,0.99959,0.99978,0.99498,0.99448,0.06302,0.06628,0.85811,0.004654,0.004654,0.004654
56,6339.3,0.16014,0.12968,0.8071,0.9996,0.9998,0.99498,0.99452,0.06284,0.06618,0.85802,0.004555,0.004555,0.004555
57,7093.96,0.15893,0.12927,0.80629,0.99959,0.99981,0.99498,0.99449,0.06263,0.06622,0.85797,0.004456,0.004456,0.004456
58,7841.26,0.15857,0.12938,0.80658,0.9996,0.99982,0.99498,0.99453,0.06244,0.06632,0.8579,0.004357,0.004357,0.004357
59,8543.37,0.15696,0.12789,0.80614,0.9996,0.99982,0.99498,0.99453,0.06207,0.06643,0.85781,0.004258,0.004258,0.004258
60,9270.15,0.15535,0.12644,0.80562,0.9996,0.99982,0.99498,0.99453,0.06157,0.06565,0.85776,0.004159,0.004159,0.004159
61,10004,0.1554,0.12673,0.80592,0.99961,0.99983,0.99498,0.99453,0.06137,0.06574,0.85771,0.00406,0.00406,0.00406
62,10754.7,0.15497,0.12608,0.80612,0.99962,0.99983,0.99498,0.99453,0.06126,0.0658,0.85764,0.003961,0.003961,0.003961
63,11483.2,0.15457,0.12648,0.80585,0.99964,0.99982,0.99498,0.99453,0.06101,0.0655,0.85755,0.003862,0.003862,0.003862
64,12251.2,0.15269,0.12444,0.80522,0.99965,0.99981,0.99497,0.99453,0.06111,0.06612,0.8575,0.003763,0.003763,0.003763
65,13034.9,0.15148,0.1234,0.80536,0.99964,0.99981,0.99497,0.99453,0.0606,0.06515,0.85742,0.003664,0.003664,0.003664
66,13830.4,0.1502,0.12218,0.80497,0.99966,0.99982,0.99497,0.99453,0.06044,0.06519,0.85732,0.003565,0.003565,0.003565
67,14599.6,0.14832,0.12107,0.80467,0.99964,0.99981,0.99497,0.99453,0.0603,0.06521,0.85721,0.003466,0.003466,0.003466
