epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,29791.4,0.19394,0.15391,0.81052,0.99954,0.99969,0.995,0.9948,0.07441,0.07066,0.84585,0.008218,0.008218,0.008218
20,31358,0.19209,0.15294,0.8099,0.99952,0.9997,0.995,0.99481,0.07425,0.07109,0.84577,0.008119,0.008119,0.008119
21,32929.1,0.19042,0.15109,0.81003,0.99951,0.99969,0.995,0.99482,0.07397,0.07107,0.84569,0.00802,0.00802,0.00802
22,34510.5,0.18863,0.15034,0.80913,0.99958,0.99966,0.995,0.99483,0.07395,0.07003,0.84572,0.007921,0.007921,0.007921
23,36047.7,0.18751,0.14948,0.80891,0.99962,0.99967,0.995,0.99484,0.07362,0.0694,0.8457,0.007822,0.007822,0.007822
24,37602.1,0.18557,0.14743,0.80886,0.99961,0.99966,0.995,0.99484,0.07331,0.0699,0.84566,0.007723,0.007723,0.007723
25,39175.4,0.18455,0.14683,0.80837,0.99962,0.99967,0.995,0.99484,0.07288,0.06931,0.84561,0.007624,0.007624,0.007624
26,40719.9,0.18275,0.14557,0.8083,0.99965,0.99967,0.995,0.99485,0.07259,0.06895,0.8456,0.007525,0.007525,0.007525
27,42293.9,0.18247,0.14538,0.80851,0.99965,0.99968,0.995,0.99484,0.07231,0.06818,0.84558,0.007426,0.007426,0.007426
28,43888,0.18201,0.14535,0.80827,0.99969,0.99968,0.995,0.99484,0.07199,0.06886,0.84546,0.007327,0.007327,0.007327
29,45441,0.18082,0.14418,0.80801,0.99969,0.99969,0.995,0.99485,0.07191,0.07259,0.84531,0.007228,0.007228,0.007228
30,47006,0.1792,0.14288,0.80743,0.99971,0.99967,0.995,0.99485,0.07168,0.06841,0.84545,0.007129,0.007129,0.007129
31,48565.7,0.178,0.14268,0.80789,0.99969,0.99971,0.995,0.99486,0.07118,0.06763,0.84538,0.00703,0.00703,0.00703
32,50139.4,0.17759,0.14241,0.80754,0.99969,0.99971,0.995,0.99486,0.07081,0.06643,0.84538,0.006931,0.006931,0.006931
33,51719.8,0.17611,0.14097,0.80734,0.99965,0.99974,0.995,0.99485,0.07051,0.06688,0.84528,0.006832,0.006832,0.006832
34,53295.9,0.17508,0.13993,0.80734,0.99966,0.99975,0.995,0.99486,0.07036,0.06894,0.8451,0.006733,0.006733,0.006733
35,54873.9,0.17478,0.13965,0.80725,0.99965,0.99976,0.995,0.99487,0.0702,0.07042,0.84497,0.006634,0.006634,0.006634
36,56510.3,0.17351,0.13872,0.80692,0.99963,0.99978,0.995,0.99487,0.0696,0.06905,0.84496,0.006535,0.006535,0.006535
37,58087.2,0.17268,0.13809,0.80626,0.99966,0.99978,0.995,0.99488,0.06893,0.06736,0.84494,0.006436,0.006436,0.006436
38,59649.3,0.17101,0.1365,0.80642,0.99963,0.99978,0.995,0.99489,0.06878,0.06544,0.845,0.006337,0.006337,0.006337
39,61207,0.17057,0.13629,0.80621,0.9996,0.99982,0.995,0.99489,0.06812,0.06381,0.84505,0.006238,0.006238,0.006238
40,62763.8,0.16923,0.1353,0.80583,0.9996,0.99985,0.995,0.9949,0.06772,0.06285,0.84509,0.006139,0.006139,0.006139
41,64307.4,0.16803,0.1345,0.80571,0.99962,0.99983,0.995,0.99491,0.06744,0.06168,0.84507,0.00604,0.00604,0.00604
42,65856.4,0.16692,0.13384,0.80528,0.99969,0.99975,0.995,0.99491,0.06707,0.06218,0.845,0.005941,0.005941,0.005941
43,67426.9,0.16678,0.13402,0.80554,0.9997,0.99976,0.995,0.99492,0.06664,0.06392,0.84492,0.005842,0.005842,0.005842
44,68992.5,0.16519,0.13271,0.80551,0.99964,0.99983,0.995,0.99492,0.06612,0.05994,0.845,0.005743,0.005743,0.005743
45,70552.5,0.16415,0.1317,0.80471,0.99966,0.99984,0.995,0.99493,0.0658,0.05951,0.84494,0.005644,0.005644,0.005644
46,72136.5,0.16381,0.13149,0.80519,0.99967,0.99984,0.995,0.99493,0.06573,0.05953,0.84486,0.005545,0.005545,0.005545
47,73764.8,0.16498,0.13189,0.80513,0.99557,0.99882,0.99496,0.99418,0.07207,0.06543,0.84756,0.005446,0.005446,0.005446
48,75391.4,0.16345,0.13119,0.80528,0.99802,0.99946,0.99498,0.99455,0.06931,0.06205,0.84667,0.005347,0.005347,0.005347
49,77002.7,0.16229,0.13043,0.80493,0.99834,0.99962,0.99499,0.99474,0.06766,0.06098,0.8459,0.005248,0.005248,0.005248
50,78611.9,0.16206,0.13077,0.80513,0.9989,0.99969,0.995,0.99485,0.06612,0.05987,0.84536,0.005149,0.005149,0.005149
51,80229,0.16029,0.12891,0.80475,0.99935,0.99979,0.995,0.99492,0.06522,0.06102,0.84503,0.00505,0.00505,0.00505
52,81848.7,0.15932,0.12809,0.80465,0.99959,0.99983,0.995,0.99494,0.06457,0.05931,0.84483,0.004951,0.004951,0.004951
53,83481.2,0.15953,0.12839,0.80429,0.99969,0.99981,0.995,0.99494,0.06397,0.05816,0.84461,0.004852,0.004852,0.004852
54,85141.3,0.15895,0.12789,0.80462,0.99975,0.9998,0.995,0.99495,0.06363,0.05745,0.84447,0.004753,0.004753,0.004753
55,86750.6,0.15748,0.12669,0.80425,0.99972,0.99983,0.995,0.99495,0.06353,0.05708,0.84441,0.004654,0.004654,0.004654
56,88395.6,0.15638,0.12585,0.80366,0.9997,0.99983,0.995,0.99496,0.06352,0.05711,0.84432,0.004555,0.004555,0.004555
57,90051.2,0.15562,0.12567,0.80371,0.99969,0.99985,0.995,0.99496,0.06316,0.05708,0.84422,0.004456,0.004456,0.004456
58,91712.5,0.15437,0.1237,0.80351,0.99969,0.99984,0.995,0.99496,0.0625,0.05646,0.84414,0.004357,0.004357,0.004357
59,93397.6,0.15417,0.12416,0.80383,0.99969,0.99987,0.995,0.99496,0.06218,0.05617,0.84408,0.004258,0.004258,0.004258
60,95070.2,0.1533,0.12352,0.80306,0.99969,0.99987,0.995,0.99496,0.06189,0.05618,0.84396,0.004159,0.004159,0.004159
61,96744.5,0.15303,0.12286,0.80345,0.99972,0.99986,0.995,0.99496,0.06135,0.05557,0.84386,0.00406,0.00406,0.00406
62,98441.2,0.15219,0.12214,0.80303,0.99971,0.99987,0.99499,0.99495,0.06114,0.0554,0.84379,0.003961,0.003961,0.003961
63,100123,0.15102,0.12181,0.80344,0.99973,0.99987,0.99499,0.99495,0.06075,0.05494,0.84373,0.003862,0.003862,0.003862
64,101809,inf,0.12075,0.80281,0.99971,0.99988,0.99499,0.99495,0.06029,0.0546,0.84369,0.003763,0.003763,0.003763
