epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1746.54,0.63748,1.03981,0.94555,0.99758,0.99865,0.99496,0.9694,0.23123,0.25463,0.85924,0.00333289,0.00333289,0.00333289
2,3336.26,0.42296,0.38061,0.84754,0.99841,0.99929,0.99496,0.98316,0.17959,0.19511,0.86089,0.00660023,0.00660023,0.00660023
3,4860.62,0.38622,0.32208,0.84384,0.99872,0.99916,0.99496,0.98956,0.15684,0.16159,0.86028,0.00980157,0.00980157,0.00980157
4,6420.35,0.33308,0.26351,0.83514,0.99896,0.9995,0.99498,0.99287,0.12439,0.12619,0.85562,0.009703,0.009703,0.009703
5,7988.94,0.28901,0.22622,0.82696,0.99915,0.99947,0.99499,0.99387,0.11062,0.10828,0.85323,0.009604,0.009604,0.009604
6,9533.64,0.26537,0.20754,0.82266,0.99927,0.9994,0.995,0.99416,0.10303,0.10085,0.85114,0.009505,0.009505,0.009505
7,11080.7,0.24969,0.19591,0.8202,0.99921,0.99968,0.99499,0.99436,0.09439,0.09374,0.84968,0.009406,0.009406,0.009406
8,12639.5,0.23843,0.18727,0.81802,0.99929,0.99959,0.995,0.99453,0.08714,0.08441,0.8483,0.009307,0.009307,0.009307
9,14180.9,0.23052,0.18038,0.81674,0.99931,0.9996,0.995,0.99457,0.0843,0.08305,0.84754,0.009208,0.009208,0.009208
10,15737.1,0.2239,0.1759,0.81545,0.99936,0.99968,0.995,0.99464,0.08307,0.08266,0.84712,0.009109,0.009109,0.009109
11,17294.7,0.21838,0.17126,0.81426,0.99946,0.99967,0.995,0.99466,0.08103,0.07819,0.847,0.00901,0.00901,0.00901
12,18855.7,0.2128,0.168,0.81346,0.9995,0.99962,0.995,0.9947,0.07939,0.07701,0.84686,0.008911,0.008911,0.008911
13,20416.3,0.2098,0.16537,0.81271,0.9995,0.99963,0.995,0.99474,0.07809,0.07602,0.84656,0.008812,0.008812,0.008812
14,21966.2,0.20643,0.16237,0.81255,0.99945,0.99969,0.995,0.99476,0.07689,0.075,0.84637,0.008713,0.008713,0.008713
15,23529.4,0.20302,0.1603,0.81174,0.99944,0.99966,0.995,0.99478,0.07597,0.07417,0.84616,0.008614,0.008614,0.008614
16,25086.4,0.20058,0.15771,0.8114,0.99952,0.99959,0.995,0.99478,0.07549,0.07327,0.84609,0.008515,0.008515,0.008515
17,26645.1,0.1978,0.15615,0.81089,0.99952,0.99968,0.995,0.99479,0.07503,0.07163,0.84603,0.008416,0.008416,0.008416
18,28222.8,0.19602,0.15506,0.81079,0.99952,0.99969,0.995,0.9948,0.07472,0.07121,0.84594,0.008317,0.008317,0.008317
