epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,46101.2,0.16282,0.13211,0.80412,0.99971,0.99983,0.995,0.99495,0.0633,0.05541,0.84645,0.005743,0.005743,0.005743
45,47158.9,0.16284,0.1318,0.80286,0.99972,0.99984,0.995,0.99495,0.06311,0.0553,0.84635,0.005644,0.005644,0.005644
46,48211.9,0.16288,0.13193,0.80365,0.99973,0.99984,0.995,0.99494,0.06293,0.05503,0.84628,0.005545,0.005545,0.005545
47,49263.4,0.16308,0.13269,0.80378,0.99974,0.99979,0.995,0.99495,0.0625,0.05546,0.84614,0.005446,0.005446,0.005446
48,50309.1,0.16266,0.13259,0.80452,0.99974,0.99981,0.995,0.99495,0.06215,0.05536,0.84609,0.005347,0.005347,0.005347
49,51345.4,0.16134,0.13175,0.80339,0.99969,0.99984,0.995,0.99495,0.06201,0.05481,0.84597,0.005248,0.005248,0.005248
50,52397.1,0.16083,0.13039,0.80378,0.99969,0.99988,0.99499,0.99494,0.06196,0.05499,0.84582,0.005149,0.005149,0.005149
51,53447,0.16051,0.12986,0.80428,0.99972,0.99985,0.99498,0.99494,0.06171,0.05475,0.84573,0.00505,0.00505,0.00505
52,54497.3,0.15986,0.13017,0.80366,0.99967,0.99988,0.99498,0.99494,0.06134,0.05367,0.84573,0.004951,0.004951,0.004951
53,55545.6,0.15786,0.12803,0.80332,0.99965,0.99989,0.99498,0.99494,0.06103,0.0528,0.84567,0.004852,0.004852,0.004852
54,56590.2,0.15733,0.12794,0.80269,0.99966,0.99991,0.99498,0.99493,0.06078,0.05245,0.84563,0.004753,0.004753,0.004753
55,57630.3,0.15769,0.12871,0.8029,0.99968,0.99991,0.99498,0.99493,0.06068,0.0525,0.84554,0.004654,0.004654,0.004654
56,58668.3,0.15748,0.12758,0.80308,0.99968,0.99991,0.99498,0.99494,0.06037,0.05223,0.84547,0.004555,0.004555,0.004555
57,59704.7,0.15471,0.12561,0.80218,0.99968,0.99992,0.99498,0.99494,0.06012,0.05178,0.84544,0.004456,0.004456,0.004456
58,60737.9,0.15331,0.12414,0.80216,0.99967,0.99993,0.99498,0.99494,0.05982,0.05159,0.84535,0.004357,0.004357,0.004357
59,61766.8,0.15421,0.1257,0.80217,0.99969,0.99991,0.99498,0.99494,0.05954,0.05183,0.84525,0.004258,0.004258,0.004258
60,62789.5,0.15388,0.12459,0.80235,0.99972,0.99989,0.99498,0.99494,0.05927,0.05134,0.8452,0.004159,0.004159,0.004159
61,63821.2,0.15149,0.12336,0.8015,0.99975,0.99986,0.99498,0.99494,0.05865,0.0523,0.8451,0.00406,0.00406,0.00406
62,64845.8,0.15217,0.12402,0.80221,0.99975,0.99985,0.99497,0.99493,0.05844,0.05175,0.84507,0.003961,0.003961,0.003961
