epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.58,0.67402,1.09391,0.97944,0.99835,0.99872,0.99488,0.95854,0.26292,0.28107,0.87625,0.00333261,0.00333261,0.00333261
2,2176.36,0.4289,0.3963,0.86178,0.99877,0.9994,0.99494,0.97754,0.18998,0.20967,0.86526,0.00659995,0.00659995,0.00659995
3,3247.85,0.38452,0.32902,0.85428,0.99919,0.9995,0.99496,0.98592,0.1572,0.16739,0.86539,0.00980129,0.00980129,0.00980129
4,4330.67,0.32701,0.26798,0.84341,0.99931,0.99961,0.99498,0.99104,0.12679,0.13127,0.85877,0.009703,0.009703,0.009703
5,5428.4,0.28114,0.22783,0.83478,0.99942,0.9996,0.99498,0.9926,0.10895,0.10977,0.85471,0.009604,0.009604,0.009604
6,6527.79,0.258,0.20854,0.83036,0.99941,0.99966,0.99498,0.99313,0.10112,0.10321,0.85399,0.009505,0.009505,0.009505
7,7624.48,0.24337,0.19652,0.82737,0.99942,0.99969,0.99499,0.99354,0.09669,0.09569,0.85121,0.009406,0.009406,0.009406
8,8714.3,0.23291,0.18833,0.82581,0.99947,0.99976,0.99499,0.99375,0.09181,0.0946,0.85034,0.009307,0.009307,0.009307
9,9804.75,0.22574,0.1828,0.82449,0.99942,0.99973,0.99498,0.99382,0.08857,0.09009,0.85076,0.009208,0.009208,0.009208
10,10892.6,0.21883,0.17719,0.8231,0.99947,0.99977,0.99499,0.99387,0.08627,0.08355,0.85041,0.009109,0.009109,0.009109
11,11974.1,0.21309,0.17261,0.82159,0.99952,0.99975,0.99498,0.99395,0.08479,0.08158,0.84987,0.00901,0.00901,0.00901
12,13051.8,0.20932,0.17025,0.8216,0.99954,0.99977,0.99498,0.99396,0.08343,0.07966,0.84925,0.008911,0.008911,0.008911
13,14127.1,0.2057,0.16715,0.82061,0.99954,0.99977,0.99498,0.99397,0.08272,0.07854,0.84925,0.008812,0.008812,0.008812
14,15203.2,0.20241,0.16416,0.81967,0.9995,0.99982,0.99498,0.99399,0.08218,0.07765,0.84925,0.008713,0.008713,0.008713
15,16284.2,0.19975,0.16206,0.81931,0.99948,0.99985,0.99498,0.99401,0.08146,0.07763,0.84918,0.008614,0.008614,0.008614
16,17359.5,0.19724,0.16034,0.81891,0.99951,0.99982,0.99498,0.99402,0.08089,0.07662,0.84912,0.008515,0.008515,0.008515
17,18440.9,0.19526,0.15834,0.81865,0.9995,0.99982,0.99498,0.99404,0.08022,0.07648,0.84884,0.008416,0.008416,0.008416
18,19519,0.19209,0.15611,0.81731,0.99949,0.99984,0.99498,0.9941,0.07969,0.07604,0.84858,0.008317,0.008317,0.008317
19,20595.7,0.19298,0.15749,0.81786,0.99956,0.9998,0.99498,0.99412,0.0794,0.0772,0.84838,0.008218,0.008218,0.008218
20,21680.5,0.19078,0.15557,0.81789,0.99952,0.99984,0.99498,0.99415,0.07929,0.07614,0.84817,0.008119,0.008119,0.008119
21,22765.1,0.19091,0.15546,0.81846,0.99952,0.99985,0.99498,0.99418,0.0794,0.07634,0.84811,0.00802,0.00802,0.00802
22,23841.4,0.18737,0.15291,0.81768,0.99952,0.99985,0.99498,0.99422,0.07897,0.07658,0.84808,0.007921,0.007921,0.007921
23,24917.4,0.18636,0.15185,0.8169,0.99952,0.99986,0.99498,0.99421,0.0786,0.07659,0.84782,0.007822,0.007822,0.007822
24,26005,0.18373,0.15043,0.81629,0.99951,0.99987,0.99498,0.99424,0.07855,0.07655,0.84784,0.007723,0.007723,0.007723
25,27095,0.1825,0.14922,0.81612,0.99953,0.99986,0.99498,0.99426,0.07874,0.07704,0.84766,0.007624,0.007624,0.007624
26,28179.2,0.18198,0.1485,0.81604,0.99954,0.99986,0.99498,0.99429,0.07901,0.07709,0.84776,0.007525,0.007525,0.007525
27,29258.4,0.18101,0.14804,0.81556,0.99955,0.99985,0.99499,0.99431,0.07862,0.07739,0.84747,0.007426,0.007426,0.007426
28,30340.4,0.1801,0.14731,0.81619,0.99952,0.99989,0.99499,0.99432,0.07852,0.07681,0.84732,0.007327,0.007327,0.007327
29,31421.8,0.17913,0.14619,0.81571,0.99955,0.99988,0.99499,0.99434,0.07806,0.0767,0.84699,0.007228,0.007228,0.007228
30,32501.2,0.17765,0.14525,0.81481,0.99955,0.99989,0.99499,0.99432,0.07742,0.07659,0.84666,0.007129,0.007129,0.007129
31,33585,0.17668,0.14418,0.81482,0.99955,0.99988,0.99499,0.99432,0.07692,0.07598,0.84663,0.00703,0.00703,0.00703
32,34664.7,0.17521,0.143,0.81439,0.99956,0.9999,0.99499,0.99431,0.07666,0.07615,0.84653,0.006931,0.006931,0.006931
33,35739.5,0.17436,0.14225,0.81494,0.99957,0.9999,0.99499,0.99432,0.07614,0.07549,0.84653,0.006832,0.006832,0.006832
34,36815.5,0.17342,0.1415,0.81421,0.99959,0.9999,0.99499,0.99432,0.07547,0.07493,0.84632,0.006733,0.006733,0.006733
35,37891.4,0.17165,0.14074,0.81444,0.99961,0.99991,0.99499,0.99434,0.07477,0.07555,0.84608,0.006634,0.006634,0.006634
36,38963.9,0.17314,0.142,0.81424,0.9996,0.99991,0.99499,0.99439,0.07422,0.07509,0.84583,0.006535,0.006535,0.006535
37,40042.7,0.17147,0.14034,0.81378,0.99962,0.99991,0.99499,0.9944,0.07352,0.07449,0.84553,0.006436,0.006436,0.006436
38,41124.4,0.17,0.13971,0.81383,0.99963,0.99991,0.99499,0.99441,0.07287,0.07431,0.84535,0.006337,0.006337,0.006337
39,42215.9,0.17005,0.13929,0.81372,0.99964,0.99991,0.99499,0.99441,0.07219,0.0741,0.84524,0.006238,0.006238,0.006238
40,43317.7,0.17098,0.14043,0.81401,0.99966,0.99991,0.99499,0.99441,0.07173,0.07401,0.84516,0.006139,0.006139,0.006139
41,44424.2,0.16975,0.13912,0.81395,0.99967,0.99991,0.99499,0.99442,0.0714,0.07332,0.84493,0.00604,0.00604,0.00604
