epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1070.4,0.67144,1.11255,0.96141,0.99868,0.99874,0.99493,0.96566,0.24601,0.26554,0.86709,0.00333257,0.00333257,0.00333257
2,2127.31,0.43153,0.40113,0.85471,0.99856,0.99907,0.99493,0.98014,0.19067,0.18948,0.86744,0.00659991,0.00659991,0.00659991
3,3186.83,0.38433,0.32882,0.84879,0.99915,0.99948,0.99497,0.98806,0.15178,0.15501,0.86674,0.00980125,0.00980125,0.00980125
4,4252.52,0.3282,0.26555,0.8394,0.99939,0.9993,0.99499,0.99266,0.12299,0.12078,0.8624,0.009703,0.009703,0.009703
5,5334.76,0.28353,0.22713,0.83089,0.99944,0.99962,0.995,0.99372,0.10491,0.10446,0.86085,0.009604,0.009604,0.009604
6,6431.9,0.25925,0.20734,0.82639,0.99951,0.99963,0.995,0.99397,0.09753,0.09702,0.8611,0.009505,0.009505,0.009505
7,7524.96,0.24462,0.1956,0.82361,0.99943,0.99967,0.995,0.99427,0.09001,0.08889,0.85928,0.009406,0.009406,0.009406
8,8615.48,0.2352,0.18861,0.82248,0.99953,0.99967,0.995,0.99445,0.08492,0.08236,0.85788,0.009307,0.009307,0.009307
9,9718.32,0.22707,0.18231,0.82082,0.99958,0.99966,0.995,0.99453,0.08173,0.07886,0.85767,0.009208,0.009208,0.009208
10,10847.2,0.22099,0.17745,0.81947,0.99948,0.99974,0.995,0.99457,0.08032,0.07558,0.85741,0.009109,0.009109,0.009109
11,11959.4,0.21549,0.17361,0.81842,0.99956,0.99972,0.995,0.99461,0.07865,0.07511,0.85697,0.00901,0.00901,0.00901
12,13047.2,0.21048,0.16952,0.81756,0.9996,0.9997,0.995,0.99462,0.07771,0.07353,0.8573,0.008911,0.008911,0.008911
13,14155.1,0.20731,0.16709,0.81699,0.99958,0.99972,0.995,0.99462,0.07698,0.07208,0.85684,0.008812,0.008812,0.008812
14,15260,0.20446,0.16483,0.81677,0.99968,0.99963,0.995,0.99464,0.07675,0.07174,0.85697,0.008713,0.008713,0.008713
15,16327.3,0.20212,0.16307,0.81582,0.99959,0.99977,0.995,0.99466,0.07592,0.0716,0.85663,0.008614,0.008614,0.008614
16,17400.7,0.20027,0.16157,0.81676,0.99963,0.99978,0.995,0.99467,0.07605,0.07123,0.8567,0.008515,0.008515,0.008515
17,18460.7,0.19659,0.15903,0.81489,0.99964,0.99978,0.995,0.99468,0.0758,0.07123,0.85674,0.008416,0.008416,0.008416
18,19533.7,0.19476,0.15733,0.81474,0.99964,0.99978,0.995,0.99469,0.07548,0.07107,0.8568,0.008317,0.008317,0.008317
19,20619.9,0.19278,0.15641,0.81386,0.99965,0.99978,0.995,0.99469,0.07513,0.07008,0.85676,0.008218,0.008218,0.008218
20,21679.8,0.19165,0.15536,0.81399,0.99965,0.99979,0.995,0.9947,0.07512,0.07006,0.85661,0.008119,0.008119,0.008119
21,22676.7,0.18995,0.1541,0.81359,0.99966,0.99979,0.995,0.99473,0.07497,0.06972,0.85634,0.00802,0.00802,0.00802
22,23739.7,0.18973,0.15403,0.81367,0.99969,0.99977,0.995,0.99474,0.07485,0.06984,0.85595,0.007921,0.007921,0.007921
23,24794.8,0.18706,0.1512,0.81336,0.99966,0.99977,0.995,0.99476,0.07481,0.06934,0.85571,0.007822,0.007822,0.007822
24,25849.9,0.18653,0.15103,0.81275,0.99968,0.99976,0.995,0.99477,0.07447,0.06805,0.85579,0.007723,0.007723,0.007723
25,26911.3,0.18399,0.14931,0.81225,0.99964,0.9998,0.995,0.99478,0.07477,0.06845,0.85576,0.007624,0.007624,0.007624
